state,origin,ages_ranges,genders,behavior,expat_population_wave5,facebook_population_wave5,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,KSA,ages_35_39,2,6025000813183,20,130000,1,Alabama,AL,3843,533,Saudi Arabia,6025000813183,2,ages_35_39,0,148624,0.0
Alabama,Malaysia,ages_35_39,2,6027147160983,20,130000,1,Alabama,AL,3843,514,Malaysia,6027147160983,2,ages_35_39,0,148624,0.0
Alabama,Mexico,ages_35_39,2,6023676072183,5800,130000,1,Alabama,AL,3843,200,Mexico,6023676072183,2,ages_35_39,3871,148624,0.0260455915599096
Alabama,Nepal,ages_35_39,2,6023356955383,70,130000,1,Alabama,AL,3843,524,Nepal,6023356955383,2,ages_35_39,0,148624,0.0
Alabama,Philippines,ages_35_39,2,6018797091183,240,130000,1,Alabama,AL,3843,515,Philippines,6018797091183,2,ages_35_39,235,148624,0.0015811712778555302
Alabama,Poland,ages_35_39,2,6019396657183,20,130000,1,Alabama,AL,3843,455,Poland,6019396657183,2,ages_35_39,342,148624,0.00230110883841102
Alabama,Portugal,ages_35_39,2,6021354882783,20,130000,1,Alabama,AL,3843,436,Portugal,6021354882783,2,ages_35_39,0,148624,0.0
Alabama,Puerto Rico,ages_35_39,2,6019520122583,320,130000,1,Alabama,AL,3843,110,Puerto Rico,6019520122583,2,ages_35_39,94,148624,0.000632468511142211
Alabama,Romania,ages_35_39,2,6027148962983,30,130000,1,Alabama,AL,3843,456,Romania,6027148962983,2,ages_35_39,77,148624,0.0005180859080633009
Alabama,Russia,ages_35_39,2,6025000815983,30,130000,1,Alabama,AL,3843,465,Russia,6025000815983,2,ages_35_39,742,148624,0.00499246420497362
Alabama,Singapore,ages_35_39,2,6023516403783,20,130000,1,Alabama,AL,3843,516,Singapore,6023516403783,2,ages_35_39,0,148624,0.0
Alabama,South Korea,ages_35_39,2,6027148973583,260,130000,1,Alabama,AL,3843,502,South Korea,6027148973583,2,ages_35_39,728,148624,0.00489826676714393
Alabama,Spain,ages_35_39,2,6019366943583,40,130000,1,Alabama,AL,3843,438,Spain,6019366943583,2,ages_35_39,18,148624,0.000121110991495317
Alabama,UAE,ages_35_39,2,6023516430783,20,130000,1,Alabama,AL,3843,543,UAE,6023516430783,2,ages_35_39,0,148624,0.0
Alabama,United Kingdom,ages_35_39,2,6021354152983,230,130000,1,Alabama,AL,3843,413,UK,6021354152983,2,ages_35_39,0,148624,0.0
Alabama,Vietnam,ages_35_39,2,6027149006383,220,130000,1,Alabama,AL,3843,518,Vietnam,6027149006383,2,ages_35_39,21,148624,0.000141296156744537
Alabama,Australia,ages_40_44,2,6021354857783,40,110000,1,Alabama,AL,3843,700,Australia,6021354857783,2,ages_40_44,144,153481,0.000938226881503248
Alabama,Austria,ages_40_44,2,6023675997383,20,110000,1,Alabama,AL,3843,450,Austria,6023675997383,2,ages_40_44,0,153481,0.0
Alabama,Canada,ages_40_44,2,6019396764183,160,110000,1,Alabama,AL,3843,150,Canada,6019396764183,2,ages_40_44,113,153481,0.000736247483401854
Alabama,China,ages_40_44,2,6019452369983,40,110000,1,Alabama,AL,3843,500,China,6019452369983,2,ages_40_44,602,153481,0.00392230960183997
Alabama,France,ages_40_44,2,6019367014383,30,110000,1,Alabama,AL,3843,421,France,6019367014383,2,ages_40_44,0,153481,0.0
Alabama,Germany,ages_40_44,2,6019367052983,160,110000,1,Alabama,AL,3843,453,Germany,6019367052983,2,ages_40_44,322,153481,0.0020979795544725397
Alabama,Greece,ages_40_44,2,6023676017583,20,110000,1,Alabama,AL,3843,433,Greece,6023676017583,2,ages_40_44,0,153481,0.0
Alabama,Hungary,ages_40_44,2,6019396638383,20,110000,1,Alabama,AL,3843,454,Hungary,6019396638383,2,ages_40_44,0,153481,0.0
Alabama,India,ages_40_44,2,6016916298983,500,110000,1,Alabama,AL,3843,521,India,6016916298983,2,ages_40_44,476,153481,0.00310136108052463
Alabama,Indonesia,ages_40_44,2,6019564344583,50,110000,1,Alabama,AL,3843,512,Indonesia,6019564344583,2,ages_40_44,62,153481,0.000403958796202787
Alabama,Ireland,ages_40_44,2,6019396650783,20,110000,1,Alabama,AL,3843,414,Ireland,6019396650783,2,ages_40_44,0,153481,0.0
Alabama,Israel,ages_40_44,2,6025000823583,20,110000,1,Alabama,AL,3843,534,Israel,6025000823583,2,ages_40_44,0,153481,0.0
Alabama,Italy,ages_40_44,2,6019396654583,40,110000,1,Alabama,AL,3843,434,Italy,6019396654583,2,ages_40_44,0,153481,0.0
Alabama,Japan,ages_40_44,2,6023676028783,40,110000,1,Alabama,AL,3843,501,Japan,6023676028783,2,ages_40_44,84,153481,0.000547299014210228
Alabama,KSA,ages_40_44,2,6025000813183,20,110000,1,Alabama,AL,3843,533,Saudi Arabia,6025000813183,2,ages_40_44,0,153481,0.0
Alabama,Malaysia,ages_40_44,2,6027147160983,20,110000,1,Alabama,AL,3843,514,Malaysia,6027147160983,2,ages_40_44,0,153481,0.0
Alabama,Mexico,ages_40_44,2,6023676072183,3700,110000,1,Alabama,AL,3843,200,Mexico,6023676072183,2,ages_40_44,2691,153481,0.0175331148480919
Alabama,Nepal,ages_40_44,2,6023356955383,20,110000,1,Alabama,AL,3843,524,Nepal,6023356955383,2,ages_40_44,0,153481,0.0
Alabama,Philippines,ages_40_44,2,6018797091183,220,110000,1,Alabama,AL,3843,515,Philippines,6018797091183,2,ages_40_44,381,153481,0.00248239195731068
Alabama,Poland,ages_40_44,2,6019396657183,20,110000,1,Alabama,AL,3843,455,Poland,6019396657183,2,ages_40_44,0,153481,0.0
Alabama,Portugal,ages_40_44,2,6021354882783,20,110000,1,Alabama,AL,3843,436,Portugal,6021354882783,2,ages_40_44,0,153481,0.0
Alabama,Puerto Rico,ages_40_44,2,6019520122583,270,110000,1,Alabama,AL,3843,110,Puerto Rico,6019520122583,2,ages_40_44,30,153481,0.00019546393364651
Alabama,Romania,ages_40_44,2,6027148962983,20,110000,1,Alabama,AL,3843,456,Romania,6027148962983,2,ages_40_44,0,153481,0.0
Alabama,Russia,ages_40_44,2,6025000815983,20,110000,1,Alabama,AL,3843,465,Russia,6025000815983,2,ages_40_44,176,153481,0.00114672174405953
Alabama,Singapore,ages_40_44,2,6023516403783,20,110000,1,Alabama,AL,3843,516,Singapore,6023516403783,2,ages_40_44,19,153481,0.00012379382464278998
